,glo_avg,dir_avg,diff_avg,lw_avg,par_avg,lux_avg,tp_sfc,humid,press,rain,ws_10m,wd_10m
8429,122.5,4.779,120.2,376.1,255.7,13.03,21.35,81.6,903.02,0.0,0.24,5.6
8430,120.4,3.634,118.7,376.0,251.8,12.82,21.39,81.4,903.02,0.0,0.405,13.5
8431,118.5,3.372,117.0,376.4,248.1,12.63,21.44,81.2,903.08,0.0,0.389,17.7
8432,116.5,3.355,115.1,377.0,244.1,12.42,21.3,80.7,903.14,0.0,0.265,23.9
8433,114.4,3.45,113.1,377.2,240.1,12.21,21.39,81.1,903.14,0.0,0.278,18.2
8434,112.8,3.273,111.5,377.8,237.0,12.04,21.4,81.5,903.14,0.0,0.307,15.9
8435,111.8,3.27,110.5,378.2,235.1,11.93,21.42,81.9,903.14,0.0,0.064,10.0
8436,110.2,3.464,109.0,379.3,231.8,11.75,21.39,81.6,903.2,0.0,-0.057,10.4
8437,107.4,3.491,106.2,380.2,226.0,11.44,21.4,81.7,903.26,0.0,-0.0559999999999999,31.4
8438,103.8,3.604,102.6,381.5,218.6,11.06,21.48,81.5,903.32,0.0,-0.0559999999999999,3.3
8439,100.3,3.679,99.3,382.5,211.7,10.69,21.45,81.2,903.32,0.0,-0.0559999999999999,3.3
8440,97.7,3.662,96.6,383.1,206.5,10.42,21.47,81.3,903.32,0.0,-0.0559999999999999,3.5
8441,95.8,3.287,94.7,383.7,202.6,10.21,21.48,81.2,903.38,0.0,-0.0559999999999999,12.2
8442,94.3,2.738,93.3,384.0,199.6,10.04,21.47,80.9,903.38,0.0,-0.0559999999999999,40.6
8443,92.7,2.698,91.8,387.4,196.4,9.02,21.48,80.7,903.38,0.0,-0.0559999999999999,49.1
8444,90.8,2.861,89.9,384.3,192.7,9.64,21.5,80.8,903.38,0.0,0.037,128.8
8445,88.7,2.67,87.7,384.2,188.3,9.41,21.48,81.0,903.32,0.0,0.037,144.8
8446,86.3,2.081,85.4,383.8,183.4,9.15,21.58,81.2,903.32,0.0,0.103,148.5
8447,83.8,1.669,83.0,383.4,178.4,8.89,21.48,81.2,903.32,0.0,0.204,155.3
8448,81.3,1.383,80.5,382.9,173.2,8.62,21.48,81.1,903.25,0.0,0.1689999999999999,164.1
8449,78.6,1.069,78.0,382.5,167.8,8.21,21.55,81.2,903.32,0.0,-0.015,163.8
8450,75.9,1.022,75.4,382.2,162.3,8.07,21.43,81.0,903.26,0.0,0.088,167.5
8451,73.0,0.923,72.6,381.9,156.3,7.76,21.42,81.1,903.31,0.0,0.282,216.5
8452,69.93,0.674,69.58,381.7,109.4,7.43,21.45,81.6,903.31,0.0,0.288,224.4
8453,66.72,0.191,66.43,381.8,143.3,7.1,21.47,82.1,903.31,0.0,0.276,232.7
8454,63.58,-0.225,63.4,381.9,136.6,6.7620000000000005,21.47,82.1,903.38,0.0,0.361,216.8
8455,60.59,-0.307,60.46,382.0,130.1,6.44,21.42,82.4,903.38,0.0,0.2019999999999999,208.6
8456,57.7,-0.215,57.63,382.2,124.0,6.136,21.48,82.9,903.38,0.0,0.445,205.6
8457,55.03,-0.4970000000000001,55.0,382.5,118.3,5.856,21.48,83.3,903.38,0.0,0.361,214.2
8458,52.5,-0.804,52.49,382.1,112.8,5.584,21.55,82.8,903.44,0.0,0.241,209.2
8459,50.04,-0.8170000000000001,50.14,382.1,107.5,5.322,21.43,83.0,903.44,0.0,0.265,215.1
8460,47.67,-0.964,47.82,382.0,102.4,5.07,21.5,83.1,903.5,0.0,0.171,219.1
